,Earnings Yield,Dividend Yield,EPS Growth,Sales Growth,ROE,ROA,Gross Margin,Net Income Margin,Operating Margin,Price to Sales,Price to Book,MarketCap,momentum_12m,momentum_6m,momentum_3m,future_return,volatility,beta,idiosyncratic_vol,avg_volume
BXP,0.0013738361289639207,5.98,0.0,0.045,0.01044,0.02421,0.6084,0.00422,0.30521,3.419978,1.9141539,11560615936.0,0.08014923661747853,-0.14511443871436125,-0.17005661845989706,-0.06985656889999692,0.3113914235928477,1.0,0.3113914235928477,1320510.0
CHRW,0.03923561642900411,2.52,3.741,-0.009,0.29655,0.08492,0.07518,0.02627,0.047069997,0.65886176,6.779217,11678296064.0,0.33974064132647674,0.0012784975274098276,-0.09277375183302805,0.014921511771365026,0.26294297672184175,1.0,0.26294297672184175,1329570.0
CDNS,0.015600371887905215,0.0,0.041,0.269,0.26133,0.11858,0.86049,0.22740999,0.33714,14.612946,14.498418,67822538752.0,-0.19195976754377087,-0.08325306309314373,-0.19868516855382867,-0.15854445520334848,0.32009133709791565,1.0,0.32009133709791565,2380043.3333333335
CZR,0.0,0.0,0.0,-0.009,-0.04639,0.043119997,0.5181,-0.024719998,0.1865,0.5292312,1.4269737,5951204864.0,-0.325402564694001,-0.23159045625994656,-0.2436001284517818,-0.21151682870915567,0.5948731738811259,1.0,0.5948731738811259,5259226.666666667
CPT,0.012702177381842442,3.56,-0.817,-0.003,0.03487,0.020680001,0.61467,0.10498,0.18679,8.105273,2.7443006,12606934016.0,0.2377458832011512,-0.024168983155096302,-0.011085498153566964,-0.0026182870269686465,0.24190837497910556,1.0,0.24190837497910556,1006283.3333333334
CPB,0.04502863190588367,4.06,-0.147,0.093,0.13423,0.064959995,0.31120002,0.05149,0.14376001,1.1321428,2.9281304,11456152576.0,-0.07184135258883584,-0.21487962989886,-0.0981130311549282,0.009458664809899986,0.24381964118232624,1.0,0.24381964118232624,3607146.6666666665
COF,0.0673765050984812,1.4,0.6,0.135,0.07987,0.0098,0.0,0.17337999,0.19580999,2.3922777,1.1713111,65538842624.0,0.24065579115313085,0.2573863552639628,-0.07346621660249808,-0.12291834991717943,0.36319367290649174,1.0,0.36319367290649174,4016583.3333333335
CAH,0.04203125275830096,1.58,0.1,-0.038,0.0,0.0301,0.03446,0.0058999998,0.010240001,0.1391095,-10.355988,30920704000.0,0.17383645492940936,0.14904568180261624,0.09478781475152287,0.007398099004155556,0.28572016707862685,1.0,0.28572016707862685,2615976.6666666665
KMX,0.04206008619794065,0.0,0.565,0.018,0.075219996,0.01672,0.12181,0.01658,0.02947,0.38676584,1.7320416,10750620672.0,-0.16005767242779767,-0.08363918924379377,-0.19655170659909305,-0.19134660398394898,0.3769263423681728,1.0,0.3769263423681728,1744126.6666666667
CCL,0.07228915836841346,0.0,0.0,0.1,0.23753001,0.0448,0.53531,0.07658,0.085209996,1.0762819,2.8163438,26929649664.0,0.1963964283893671,0.17730496373952165,-0.25140925894812416,-0.23059094067578345,0.5561814829368313,1.0,0.5561814829368313,23265923.333333332
CARR,0.0183375930339445,1.35,4.811,0.193,0.103590004,0.04147,0.26786,0.24922001,0.08217,2.556307,4.150084,57481117696.0,0.16380207749445064,-0.11198548010688902,-0.09423038271436313,0.04606918829358153,0.37704977640557713,1.0,0.37704977640557713,6172620.0
CAT,0.0648922402702684,1.66,0.096,-0.05,0.55327,0.09675,0.32539,0.16652,0.19186,2.504665,8.328184,162324824064.0,0.009473207107957515,0.007450152629369322,-0.12339559046713167,-0.035223251890422747,0.2976208486559067,1.0,0.2976208486559067,2614200.0
CBOE,0.033699463400074334,1.18,-0.065,0.143,0.1851,0.09678,0.50614,0.18681,0.27149,5.470996,5.23361,22400993280.0,0.16594003786507994,0.020169729653432222,0.05607384775013635,0.009007751945794285,0.24406156487824396,1.0,0.24406156487824396,834083.3333333334
